project,source,long,lat,date,subset,depth,temp,chltot,chl0.2,chl2,chl20
TPR,Cerme_o et al ,-8.786333333,42.23483333,01/7/2,RÍa,0,18.58,1.48501,0.18373,0.40573,0.89556
TPR,,-8.786333333,42.23483333,01/7/2,RÍa,-10,13.78,6.94237,0.1378,0.79991,6.00466
TPR,,-8.786333333,42.23483333,01/7/2,RÍa,-20,13.1,1.55199,0.0804,0.21246,1.25913
TPR,,-8.786333333,42.23483333,01/7/5,RÍa,0,14.46,3.01009,0.22774,0.45165,2.3307
TPR,,-8.786333333,42.23483333,01/7/5,RÍa,-15,13.14,5.59334,0.14354,0.74633,4.70346
TPR,,-8.786333333,42.23483333,01/7/5,RÍa,-20,12.79,2.45899,0.19904,0.44591,1.81405
TPR,,-8.786333333,42.23483333,01/7/9,RÍa,0,18.07,2.26382,0.17416,0.43443,1.65523
TPR,,-8.786333333,42.23483333,01/7/9,RÍa,-10,14.12,7.5059,0.23061,1.00274,6.27255
TPR,,-8.786333333,42.23483333,01/7/9,RÍa,-20,12.96,1.39087,0.11255,0.30814,0.97018
TPR,,-8.786333333,42.23483333,01/7/12,RÍa,0,16.91,2.12394,0.1732,0.40267,1.54807
TPR,,-8.786333333,42.23483333,01/7/12,RÍa,-10,13.8,9.93416,0.10126,0.9197,8.91321
TPR,,-8.786333333,42.23483333,01/7/12,RÍa,-20,13.04,1.06423,0.05705,0.32593,0.68124
TPR,,-8.786333333,42.23483333,01/7/16,RÍa,0,17.41,2.82352,0.2153,0.54541,2.0628
TPR,,-8.786333333,42.23483333,01/7/16,RÍa,-10,15.17,5.24604,0.13685,0.65448,4.4547
TPR,,-8.786333333,42.23483333,01/7/16,RÍa,-20,13.17,4.03191,0.08135,0.47174,3.47881
TPR,,-8.786333333,42.23483333,01/7/19,RÍa,0,17.49,2.18345,0.14163,0.39999,1.64183
TPR,,-8.786333333,42.23483333,01/7/19,RÍa,-10,16.15,2.44751,0.11867,0.47653,1.85232
TPR,,-8.786333333,42.23483333,01/7/19,RÍa,-20,13.11,0.8392,0.08231,0.32058,0.43631
TPR,,-8.786333333,42.23483333,01/11/5,RÍa,0,17.07,1.71272,0.48415,0.75399,0.47458
TPR,,-8.786333333,42.23483333,01/11/5,RÍa,-10,17.33,1.37977,0.41718,0.6985,0.2641
TPR,,-8.786333333,42.23483333,01/11/5,RÍa,-20,17.33,0.60862,0.21434,0.3311,0.06318
TPR,,-8.786333333,42.23483333,01/12/3,RÍa,0,12.8,1.2994,0.17799,0.72337,0.39804
TPR,,-8.786333333,42.23483333,01/12/3,RÍa,-10,12.78,1.12718,0.20095,0.59517,0.33107
TPR,,-8.786333333,42.23483333,01/12/3,RÍa,-20,12.64,0.6201,0.1933,0.2469,0.1799
TPR,,-8.786333333,42.23483333,02/1/31,RÍa,0,12.41,0.88188,0.30446,0.50454,0.07288
TPR,,-8.786333333,42.23483333,02/1/31,RÍa,-10,13.35,0.60029,0.15007,0.35016,0.10006
TPR,,-8.786333333,42.23483333,02/1/31,RÍa,-20,13.33,0.40196,0.07657,0.26413,0.06126
TPR,,-8.786333333,42.23483333,02/2/18,RÍa,0,13.18,0.94756,0.1647,0.25208,0.53078
TPR,,-8.786333333,42.23483333,02/2/18,RÍa,-10,13.55,0.91633,0.17647,0.38008,0.35977
TPR,,-8.786333333,42.23483333,02/2/18,RÍa,-20,13.78,0.27991,0.08841,0.15327,0.03823
TPR,,-8.786333333,42.23483333,02/2/21,RÍa,0,13.21,1.91071,0.34715,0.41166,1.15191
TPR,,-8.786333333,42.23483333,02/2/21,RÍa,-10,13.43,1.33987,0.21027,0.3596,0.77
TPR,,-8.786333333,42.23483333,02/2/21,RÍa,-20,13.75,0.37821,0.09967,0.18911,0.08943
TPR,,-8.786333333,42.23483333,02/2/25,RÍa,0,13.5,14.74,0.3,1.78,12.66
TPR,,-8.786333333,42.23483333,02/2/25,RÍa,-10,13.55,9.66,0.2,1.23,8.23
TPR,,-8.786333333,42.23483333,02/2/25,RÍa,-20,13.59,1.56063,0.15,0.53063,0.88
TPR,,-8.786333333,42.23483333,02/2/28,RÍa,0,13.02,2.55524,0.12886,0.37855,2.04783
TPR,,-8.786333333,42.23483333,02/2/28,RÍa,-10,13.33,2.19735,0.11452,0.51372,1.56911
TPR,,-8.786333333,42.23483333,02/2/28,RÍa,-20,13.41,2.79332,0.11862,0.44357,2.23113
TPR,,-8.786333333,42.23483333,02/3/20,RÍa,0,13.47,0.35007,0.05,0.16865,0.13142
